Lugar,Tempo
Porto - São Bento,04:35
Porto - Campanhã,04:40
porto - Campanhá,04:50
General Torres,04:52
Vila Nova de Gaia - Devesas,04:54
Coimbrões,04:67
Madalena,05:00
Valadares,05:03
Francelos,05:06
Miramar,05:09
Aguda,05:11
Granja,05:15
Espinho,05:18
Silvalde,05:21
Paramos,05:24
Esmoriz,05:27
Cortegaça,05:30
Carvalheira-Maceda,05:37
Ovar,05:41
Válega,05:48
Avanca,05:50 
Estarreja,05:52
Salreu,05:54
Canelas,05:57
Aveiro,06:00
